# Rime user dictionary
#@/db_name	pinyin_simp
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	1400
#@/user_id	iarch
jiao 	叫	c=3 d=0.0507875 t=1400
jiao cheng 	教程	c=1 d=0.767206 t=1400
jiao dian 	焦点	c=1 d=0.778801 t=1400
jiao huan 	交换	c=1 d=0.718924 t=1400
jiao tong 	交通	c=2 d=0.0796995 t=1400
jie 	劫	c=0 d=0.012938 t=1400
jie 	节	c=1 d=0.0112769 t=1400
jie jue 	解决	c=1 d=0.247833 t=1400
jie shao 	介绍	c=1 d=0.177285 t=1400
jie ya 	解压	c=2 d=0.00404548 t=1400
jin 	进	c=1 d=0.28224 t=1400
jin ri 	今日	c=1 d=0.00349998 t=1400
jin ru 	进入	c=1 d=0.00319874 t=1400
jin shang tian hua 	锦上添花	c=1 d=0.102797 t=1400
jin tian 	今天	c=1 d=0.0137049 t=1400
jin wan 	今晚	c=2 d=0.306705 t=1400
jin wan 	金湾	c=15 d=2.51599 t=1400
jin wan ren 	金湾人	c=1 d=0.486752 t=1400
jin yong 	禁用	c=1 d=0.00239349 t=1400
jin zhu 	进驻	c=1 d=0.0317456 t=1400
jing 	精	c=2 d=0.313046 t=1400
jing cai 	精彩	c=1 d=0.324653 t=1400
jing chang 	经常	c=1 d=0.0542041 t=1400
jing cheng 	京城	c=1 d=0.0539337 t=1400
jing dian 	经典	c=1 d=0.0149956 t=1400
jing guan 	景观	c=1 d=0.0159228 t=1400
jing ming 	精明	c=1 d=0.123687 t=1400
jing pai 	精排	c=1 d=0.0584257 t=1400
jing xi 	惊喜	c=0 d=0.000349998 t=1400
jing xin 	惊心	c=1 d=0.0119742 t=1400
jing ye 	敬业	c=1 d=0.0144798 t=1400
jiu 	久	c=2 d=0.32171 t=1400
jiu 	就	c=6 d=0.758868 t=1400
jiu shi 	就是	c=10 d=0.405489 t=1400
jiu shi zhe yang 	就是这样	c=0 d=0.000168667 t=1400
jiu xiang shi 	就像是	c=1 d=0.0652193 t=1400
ju 	剧	c=1 d=0.532592 t=1400
ju ti 	具体	c=1 d=0.00597603 t=1400
jue de 	觉得	c=2 d=0.16609 t=1400
jue ding 	决定	c=1 d=0.00123091 t=1400
jun 	军	c=1 d=0.144424 t=1400
ka pian 	卡片	c=13 d=0.927491 t=1400
kai hui 	开会	c=1 d=0.00873867 t=1400
kai ji 	开机	c=2 d=1.89776 t=1400
kai shi 	开始	c=1 d=0.0322254 t=1400
kan 	看	c=7 d=0.573963 t=1400
kan guo 	看过	c=1 d=0.105928 t=1400
kan hao 	看好	c=1 d=0.0120945 t=1400
kan kan 	看看	c=2 d=0.306721 t=1400
kan shi pin 	看视频	c=1 d=0.484325 t=1400
kan wan 	看完	c=2 d=0.171613 t=1400
kao lv 	考虑	c=1 d=0.037068 t=1400
ke 	可	c=3 d=0.60509 t=1400
ke cheng 	课程	c=4 d=0.533041 t=1400
ke fu 	客服	c=1 d=0.00307331 t=1400
ke neng 	可能	c=0 d=0.00214936 t=1400
ke shi 	可是	c=1 d=0.722527 t=1400
ke yi 	可以	c=10 d=0.733786 t=1400
ke yong 	可用	c=1 d=0.00255424 t=1400
kou 	口	c=2 d=0.0786063 t=1400
ku 	库	c=1 d=0.183599 t=1400
ku cha 	裤衩	c=1 d=0.0320647 t=1400
kuai 	快	c=1 d=0.501576 t=1400
kuai jie jian 	快捷键	c=2 d=1.49671 t=1400
kuang lan 	狂澜	c=1 d=0.155673 t=1400
kui jian 	窥见	c=1 d=0.140156 t=1400
kui kong 	亏空	c=1 d=0.142274 t=1400
lai 	来	c=3 d=0.515355 t=1400
lai dao 	来到	c=1 d=0.313486 t=1400
lai jiang 	来讲	c=1 d=0.00530026 t=1400
lang 	浪	c=0 d=0.0124307 t=1400
lang de xu ming 	浪得虚名	c=1 d=0.12493 t=1400
lao ren 	老人	c=2 d=0.0829845 t=1400
le 	了	c=13 d=1.48698 t=1400
