# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	33981
#@/user_id	iarch
ben ying 	本應	c=0 d=9.88839e-17 t=33981
ben ying gai 	本應該	c=2 d=5.29196e-43 t=33981
ben ying shi 	本應是	c=1 d=9.93796e-16 t=33981
ben zhi 	本質	c=4 d=2.95633e-17 t=33981
ben zou 	奔走	c=0 d=4.91127e-19 t=33981
ben zou zhe 	奔走着	c=1 d=4.93588e-18 t=33981
beng 	嘣	c=1 d=2.77792e-20 t=33981
beng fa chu 	迸發出	c=1 d=4.31183e-16 t=33981
beng huai 	崩壞	c=1 d=7.98083e-24 t=33981
beng lie 	崩裂	c=1 d=0.00767337 t=33981
bi 	比	c=7 d=0.00488674 t=33981
bi bai 	必敗	c=0 d=7.22135e-25 t=33981
bi bai wu yi 	必敗無疑	c=1 d=7.25755e-24 t=33981
bi bu shang 	比不上	c=2 d=1.55057e-15 t=33981
bi ci 	彼此	c=5 d=0.267135 t=33981
bi ci jian 	彼此間	c=1 d=5.63184e-11 t=33981
bi ding 	必定	c=4 d=7.93062e-12 t=33981
bi fang shuo 	比方說	c=2 d=1.23259e-19 t=33981
bi hui 	避諱	c=0 d=1.76455e-35 t=33981
bi ji 	比及	c=1 d=0.00701293 t=33981
bi jiao 	比較	c=1 d=1.25228e-29 t=33981
bi jiao hao 	比較好	c=1 d=3.98506e-30 t=33981
bi jin 	逼近	c=2 d=7.9084e-05 t=33981
bi jing 	畢竟	c=6 d=0.255172 t=33981
bi li 	比例	c=1 d=3.86137e-12 t=33981
bi men 	閉門	c=0 d=2.19122e-24 t=33981
bi men bu chu 	閉門不出	c=1 d=2.2022e-23 t=33981
bi mian 	避免	c=1 d=8.7354e-28 t=33981
bi po 	逼迫	c=0 d=1.80117e-12 t=33981
bi po zhe 	逼迫着	c=1 d=1.8102e-11 t=33981
bi qi 	比起	c=12 d=2.63248e-05 t=33981
bi qi na ge 	比起那個	c=2 d=1.55429e-12 t=33981
bi qi wo men 	比起我們	c=1 d=3.0775e-19 t=33981
bi qi zhe ge shi jie 	比起這個世界	c=1 d=5.13557e-14 t=33981
bi qi zi ji 	比起自己	c=1 d=6.41916e-21 t=33981
bi ran 	必然	c=7 d=6.93112e-12 t=33981
bi ran de 	必然地	c=1 d=3.25205e-21 t=33981
bi ren he 	比任何	c=1 d=0.0127784 t=33981
bi ren he ren 	比任何人	c=2 d=0.0739625 t=33981
bi ru 	比如	c=2 d=5.95635e-23 t=33981
bi ru shuo 	比如說	c=1 d=1.71036e-20 t=33981
bi sai 	比賽	c=1 d=5.54026e-24 t=33981
bi sha 	必殺	c=1 d=5.25199e-13 t=33981
bi shang yan jing 	閉上眼睛	c=3 d=4.89359e-05 t=33981
bi shen me 	比什麼	c=1 d=1.14922e-48 t=33981
bi sheng 	必勝	c=1 d=6.48588e-25 t=33981
bi shi 	比試	c=1 d=5.07134e-13 t=33981
bi shui 	比誰	c=4 d=1.44149e-08 t=33981
bi wan 	臂彎	c=1 d=6.2123e-18 t=33981
bi wen 	逼問	c=1 d=2.81703e-41 t=33981
bi wen zhe 	逼問着	c=1 d=5.52108e-42 t=33981
bi xu 	必須	c=3 d=7.25014e-12 t=33981
bi xu jiang 	必須將	c=1 d=2.24318e-34 t=33981
bi xu pin 	必需品	c=1 d=2.93349e-14 t=33981
bi yao 	必要	c=17 d=3.42298e-06 t=33981
bi yao de 	必要的	c=1 d=5.73663e-22 t=33981
bi yao xing 	必要性	c=1 d=8.69922e-38 t=33981
bi you 	必有	c=1 d=6.69386e-14 t=33981
bi yu 	比喻	c=1 d=9.99085e-49 t=33981
bi zhe 	比這	c=1 d=1.58947e-40 t=33981
bi zhe yan 	閉着眼	c=3 d=1.66241e-16 t=33981
bi zhe yan jing 	閉着眼睛	c=1 d=9.10764e-19 t=33981
bi zui 	閉嘴	c=1 d=1.47132e-43 t=33981
bian 	便	c=1 d=1.86114e-14 t=33981
bian 	變	c=3 d=2.78132e-05 t=33981
bian 	貶	c=0 d=9.9603e-14 t=33981
bian 	邊	c=5 d=2.67918e-06 t=33981
bian bu 	遍佈	c=2 d=3.08441e-16 t=33981
bian cha 	變差	c=1 d=1.53272e-24 t=33981
bian cheng 	編程	c=1 d=8.26329e-12 t=33981
bian cheng 	變成	c=40 d=0.0498524 t=33981
bian cheng le 	變成了	c=9 d=2.61935e-05 t=33981
bian de 	變得	c=25 d=0.0673283 t=33981
bian geng 	變更	c=2 d=9.91738e-21 t=33981
bian hao 	編號	c=1 d=1.54307e-15 t=33981
bian hua 	變化	c=1 d=0.0342181 t=33981
bian huan 	變換	c=0 d=2.04412e-30 t=33981
bian ji 	編輯	c=1 d=3.29257e-49 t=33981
bian ji qi 	編輯器	c=2 d=3.89002e-50 t=33981
bian jie 	辯解	c=2 d=2.6403e-10 t=33981
bian jie zhe 	辯解着	c=1 d=1.40199e-34 t=33981
bian li 	便利	c=1 d=1.31788e-12 t=33981
bian ru 	編入	c=0 d=9.20077e-22 t=33981
bian ru dao 	編入到	c=1 d=9.24689e-21 t=33981
bian shi 	辨識	c=0 d=3.96181e-21 t=33981
bian shi de 	辨識地	c=1 d=3.98167e-20 t=33981
bian tai 	變態	c=2 d=5.71919e-05 t=33981
bian wai 	編外	c=1 d=1.26905e-09 t=33981
bian wai ge ti 	編外個體	c=19 d=4.00858e-11 t=33981
bian wei 	變爲	c=2 d=0.00452719 t=33981
bian wei nu li 	貶爲奴隸	c=1 d=1.00103e-12 t=33981
bian xiao 	變小	c=1 d=1.43626e-24 t=33981
bian yi 	編譯	c=1 d=8.25667e-12 t=33981
bian zhi 	便知	c=0 d=1.60495e-08 t=33981
bian zhi 	編制	c=1 d=3.23565e-18 t=33981
bian zhi 	編織	c=1 d=1.33126e-20 t=33981
bian zhi er cheng 	編制而成	c=1 d=4.04116e-18 t=33981
bian zhi er cheng 	編織而成	c=1 d=8.9736e-21 t=33981
bian zi 	辮子	c=1 d=5.2411e-18 t=33981
biao 	表	c=0 d=7.25361e-48 t=33981
biao bai 	表白	c=2 d=1.30057e-16 t=33981
biao ben 	標本	c=1 d=7.45546e-17 t=33981
biao ming 	表明	c=1 d=1.08009e-24 t=33981
biao qian 	標籤	c=0 d=1.52772e-16 t=33981
biao qian ye 	標籤頁	c=1 d=1.53538e-15 t=33981
biao qing 	表情	c=29 d=1.09271e-06 t=33981
biao shi 	標識	c=1 d=1.29512e-13 t=33981
biao shi 	表示	c=7 d=4.21663e-17 t=33981
biao shi gan xie 	表示感謝	c=1 d=8.51826e-26 t=33981
biao shu 	表述	c=1 d=8.17451e-12 t=33981
biao ti 	標題	c=0 d=4.11145e-16 t=33981
biao ti shi 	標題是	c=1 d=4.13206e-15 t=33981
biao xian 	表現	c=4 d=2.4796e-08 t=33981
biao xian chu 	表現出	c=3 d=1.51791e-12 t=33981
biao xian chu lai 	表現出來	c=1 d=2.54453e-17 t=33981
biao xian le 	表現了	c=1 d=2.49203e-07 t=33981
biao yan 	表演	c=1 d=1.65896e-14 t=33981
biao zhi 	標誌	c=1 d=1.30814e-13 t=33981
biao zhun 	標準	c=3 d=6.75172e-27 t=33981
biao zhun zhi 	標準值	c=1 d=1.56528e-36 t=33981
bie 	別	c=9 d=6.68241e-12 t=33981
bie de 	別的	c=2 d=0.00321477 t=33981
bie guan 	別管	c=0 d=2.32031e-21 t=33981
bie guan wo 	別管我	c=1 d=2.33194e-20 t=33981
bie kai 	別開	c=0 d=2.0016e-18 t=33981
bie kai wan xiao 	別開玩笑	c=2 d=1.68868e-17 t=33981
bie kai wan xiao le 	別開玩笑了	c=1 d=2.01163e-17 t=33981
bie qiao bu qi 	別瞧不起	c=1 d=7.91378e-13 t=33981
bie ren 	別人	c=8 d=0.0800583 t=33981
bie sha le 	別傻了	c=1 d=3.08179e-06 t=33981
bie shuo 	別說	c=9 d=0.366045 t=33981
bie shuo shi 	別說是	c=1 d=1.4962e-05 t=33981
bie ti 	別提	c=0 d=1.62666e-19 t=33981
bie wang le 	別忘了	c=1 d=3.86202e-14 t=33981
bie wu er zhi 	別無二致	c=1 d=5.66181e-44 t=33981
bie wu ta fa 	別無他法	c=1 d=6.37825e-34 t=33981
bie xiang 	別想	c=0 d=4.82483e-16 t=33981
bie xiang chu qu 	別想出去	c=1 d=4.84902e-15 t=33981
bie xiang tao 	別想逃	c=1 d=4.42249e-20 t=33981
bie zhao jie kou 	別找藉口	c=1 d=2.71403e-11 t=33981
bie zhong 	別種	c=1 d=1.04436e-40 t=33981
bin lin 	瀕臨	c=3 d=6.27153e-12 t=33981
bing 	並	c=10 d=1.66244e-08 t=33981
bing 	屛	c=0 d=1.98998e-33 t=33981
bing 	病	c=1 d=3.64529e-11 t=33981
bing bu 	並不	c=3 d=4.36643e-17 t=33981
bing bu bi 	並不比	c=1 d=4.62525e-18 t=33981
bing bu liao jie 	並不瞭解	c=1 d=1.67045e-07 t=33981
bing bu neng 	並不能	c=1 d=4.39968e-18 t=33981
bing bu qing chu 	並不清楚	c=1 d=2.534e-27 t=33981
bing bu shi 	並不是	c=3 d=2.58794e-10 t=33981
bing bu suan 	並不算	c=1 d=1.11799e-18 t=33981
bing bu suan shao 	並不算少	c=1 d=6.14924e-45 t=33981
bing bu wo you 	並不握有	c=1 d=9.51846e-38 t=33981
bing bu zai nei 	並不在內	c=1 d=8.90887e-24 t=33981
bing bu zhi dao 	並不知道	c=1 d=9.26737e-47 t=33981
bing fei 	並非	c=31 d=4.98122e-07 t=33981
bing fei shi 	並非是	c=1 d=3.67492e-18 t=33981
bing mei you 	並沒有	c=1 d=6.78556e-27 t=33981
bing pai 	並排	c=0 d=2.2568e-18 t=33981
bing pai zuo zai 	並排坐在	c=1 d=2.26811e-17 t=33981
bing qi 	兵器	c=1 d=7.71708e-11 t=33981
bing qie 	並且	c=12 d=1.66313e-10 t=33981
bing tai 	病態	c=1 d=3.73757e-11 t=33981
bing xi 	屏息	c=1 d=1.718e-43 t=33981
bing zhu hu xi 	屛住呼吸	c=2 d=3.69271e-16 t=33981
bing zhu le 	屛住了	c=1 d=1.99915e-32 t=33981
bo ben 	薄本	c=1 d=3.95899e-41 t=33981
bo bo 	薄薄	c=1 d=6.31263e-30 t=33981
bo bu 	薄布	c=1 d=6.87267e-30 t=33981
bo chu 	播出	c=2 d=3.46563e-34 t=33981
bo duo 	剝奪	c=1 d=2.674e-42 t=33981
bo hui 	駁回	c=1 d=8.14205e-24 t=33981
bo kai 	剝開	c=1 d=1.45045e-22 t=33981
bo ke 	博客	c=1 d=1.38899e-42 t=33981
bo li 	玻璃	c=1 d=2.12906e-08 t=33981
bo xue 	剝削	c=1 d=1.29222e-16 t=33981
bu 	不	c=66 d=0.633791 t=33981
bu 	部	c=3 d=1.47427 t=33981
bu an 	不安	c=12 d=0.00577844 t=33981
bu bao 	不抱	c=0 d=1.25424e-19 t=33981
bu bao han 	不包含	c=1 d=1.81421e-37 t=33981
bu bao xi wang 	不抱希望	c=1 d=1.26053e-18 t=33981
